MESSAGE,RESPONSE
Where can I learn about internship programs for undergraduates?,"You can learn about our programs by attending recruitment fairs or events, participating in a Virtual Recruiting webinar, inquiring with your campus career office or visiting our Programs pages and Events calendar."
Does Credit Suisse offer internships for MBA students and others with an advanced degree?,"Yes. Our Associate internship programs are geared toward MBAs and other graduates. You can read more about these in our Programs pages.
"
Do I need to be a Business or Economics major to apply?,"No. Many of our programs accept applicants from all disciplines and degree majors, though some programs are geared toward undergraduates and some are geared toward graduate students.
"
What's the difference between an Analyst and Associate?,"Our Analyst programs are available to penultimate year students, while Associate programs are designed to give MBA and JD students a comparable experience to that of a first-year Associate."
How long are internships?,"Our internship programs vary in length, but a summer internship typically lasts three months."
When am I expected to start if I am offered an internship?,"Start dates vary by region. In most regions, your start date will align with university term dates, and generally, the main internship time is over the summer months."
Do you offer internships at other times?,In some regions we offer off-cycle Internship Programs that are available at different points throughout the year.
When will Credit Suisse visit my campus?,You can find out about campus visits from your campus career office or by checking our Events calendar
Can I apply to more than one business area?,"Yes. You may apply to up to two programs in different regions and lines of business. When you apply, you'll be asked to indicate your areas of interest."
How important is my work experience?,"You do not need relevant work experience to be considered for Analyst roles. MBA students applying to Associate roles typically need a minimum of three years of work experience, but it is not required that your work experience be in financial services or a related field."
What type of training will I receive during the internship?,Most programs offer a mix of classroom-style and on-the-job training. Program details vary by business and region.
Does Credit Suisse offer scholarships?,"You can learn more about scholarships that we offer by visiting our Programs pages, and looking under Diversity and Inclusion programs."
I am still in high school. Are there opportunities for me?,"In Switzerland, Apprenticeships and the Junior Banking Program are an option for high-school students. Local language proficiency (German, French or Italian) is required."
What is the difference between a portfolo and safekeeping account?,The portfolio shows both safekeeping account positions and the assigned accounts forward transactions and options for precious metals and foreign exchange. The safekeeping account shows only positions with a “Security Number/ISIN”.
How can I order a statement of investments?,"Select the “Order Statement” tab under “Portfolio/Safekeeping Account”, and select the appropriate portfolio/safekeeping account. Confirm with “Go” and use the “Order” button to confirm the request. The ordered report will be sent by post or as an e-document, depending on mailing instructions."
"Why do I sometimes see different account balances in
Portfolio/Safekeeping Account and Account?","The account balances in ""Portfolio"" show net information as of today/as of the record date. Bookings for future dates and provisional bookings are also included in the ""Account list"" and full overview. "
What price is used to convert foreign currency positions?,"For valuation, either the current average exchange rate real-time view or the average exchange rate on the evening of the chosen valuation date is used."
"What information can I find in ""Asset Allocation""?","""Asset Allocation"" shows the asset categories and currencies in which the portfolio assets or safekeeping account assets are invested."
"What information can I find under ""Sector Analysis""?",The sector analysis and analysis by debtor category also included on this page show the sectors in which the assets are invested and the debtor categories in which the nominal assets of the portfolio/safekeeping account are invested.
"What information can I find in the ""Country Analysis""?",The country analysis shows the countries in which the portfolio/safekeeping account assets are invested.
"What information can I find in the ""Maturity Analysis""?",The maturity analysis shows when the nominal assets are likely to mature. Maturities of more than or less than one year are differentiated.
"How can I acces the portfolio, if I can only see the safekeeping account?","Please contact your Relationship Manager, who will be able to activate your authorization."
How can I print pages in Portfolio/Safekeeping Account?,"Use the PDF button, which you will find at the top and bottom of the page on the right-hand side. Depending on the asset classes in your safekeeping account, individual pages can contain a large amount of information. "
Where can I check the current value of my securities in Portfolio/Safekeeping Account?,"You get the most recent values by choosing ""Real-Time Positions"" and recalculating. The selected option is saved for future use per portfolio/safekeeping account. Depending on the security, the values shown are real-time, delayed, from the previous day, or older."
Why am I unable to trade with one fund usuig Online Banking even though it is in my safekeeping account?,Regulatory reasons prevent us from offering and providing details of all funds on the internet. Please contact your Relationship Manager for additional information.
How do the payment templates work and how can I set them up?,You can create a template for recurring payments with different amounts or payment dates. The easiest way is to save the beneficiary information when entering the first payment under “Single Payments”. Then select a folder from “Save as Template” before clicking on “Next”. You can save and manage these templates in folders you create yourself.
How can I permanently change the account to be debited for payments?,Online Banking always takes the first account as the account to be debited for payment orders. You can choose a different account as the standard account to be debited for payment orders by going to “My Profile” and then “Settings” and “Payments”.
Up to what poin can I issue and change/delete a payment order in Online Banking?,Account transfers can be issued up to 21:00 on the day of execution free of charge. Payment orders can be issued up to 07:00 on the day of execution. Payment orders for single execution can be modified or deleted up until 24:00 on the day before execution.
How can I change or delete a payment? ,Payments entered in Online Banking can be modified or deleted directly in the “Administer payments” menu under “Payments overview”.
How can I set a maximum amount per payment?,"In the Client Center, under ""Settings"" you can select the navigation item ""Payments"" to set your maximum payment amount."
Can I make a transfer from my savings account?,You can only debit your savings account in Online Banking with an internal transfer to another account. The account to be credited must be included in the same Online Banking contract.
How much does a payment cost?,Charges for Online Banking payments for private clients/corporate clients can be found in the Table of fees and commissions.
What is important when making an international payment within the EU/EEA?,Follow the SEPA transfer standards for economical payments within the EU/EEA
I want to check the details of an old payment for which I gave instructions in Online Banking. What do I do?,Payment instructions can be viewed for 45 days in Online Banking under “Administer Payments”. All older payment details can be requested from your Relationship Manager.
What is the difference between execution day and value date?,Execution day refers to the day on which the payment order is processed. The value date is the day from which interest is calculated for debit and credit items.
What is the function “Show/Hide Process”? (for corporate clients only),"This function allows you to see which user issued, modified, approved or deleted an order and when. “Show Process” displays this information, and “Hide Process” conceals it again."
Which types of securities can be traded using Online Banking?,"Equity ,bonds,warrants,Investment funds,Rights,ETFS"
What does a securities order cost?,"The cost of a securities order varies according to the volume, stock exchange, and type of security. You will find an overview of prices in the Table of Fees and Commissions."
What do different types of orders mean?, A market order is executed at the best bid or ask price available on the order book at the time of entry.
Can securities orders for investment funds be input with a limit?,It is possible to enter a limit for investment funds that are traded in the secondary market.It is not possible to enter a limit for investment funds that are traded in the primary market
Can an order for an investment fund in the primary market be canceled?,"No, these cannot be canceled via Online Banking."
By when must I input an order for an investment fund in the primary market?,"Each fund has its own specific daily time limit for the acceptance of orders, which is set by the market and settlement. The time limits for order entry are listed in “Fund Lab” under “Purchases & Sales”."
What information can I access under Market Data?,"Under Market Data, you can find securities investments of almost 200 stock exchanges with all relevant financial information, charts."
Which stock exchanges are displayed with real-time quotes?,"We offer three stock exchanges with real-time quotes: SIX Swiss Exchange, SIX Swiss Exchange Blue Chip, and Scoach."
Why can I not find the financial instrument that I'm looking for?,"If a financial instrument is not activated in our systems, it will not be shown in our application."
"What is the ""Swiss Security Number""?",This is the security number that is used in Switzerland to identify a financial instrument.
